Region,mcode,lvcnt,lvdt2,bomb
West,1,347,3/24/1999,0
West,1,597,3/26/1999,0
West,1,1112,3/28/1999,0
West,1,1390,3/30/1999,0
West,1,2233,4/1/1999,0
West,1,4295,4/3/1999,0
West,1,5295,4/5/1999,0
West,1,40,4/7/1999,0
West,1,18,4/9/1999,0
West,1,20,4/11/1999,0
West,1,58,4/13/1999,0
West,1,59,4/15/1999,0
West,1,55,4/17/1999,0
West,1,79,4/19/1999,0
West,1,0,4/21/1999,0
West,1,11,4/23/1999,0
West,1,12,4/25/1999,0
West,1,188,4/27/1999,0
West,1,12,4/29/1999,0
West,1,0,5/1/1999,0
West,1,2,5/3/1999,0
West,1,2,5/5/1999,0
West,1,30,5/7/1999,1
West,1,19,5/9/1999,1
West,1,0,5/11/1999,1
West,1,0,5/13/1999,1
West,1,0,5/15/1999,1
West,1,0,5/17/1999,0
West,1,0,5/19/1999,0
West,1,0,5/21/1999,0
West,1,0,5/23/1999,0
West,1,0,5/25/1999,0
West,1,0,5/27/1999,0
West,2,863,3/24/1999,0
West,2,1584,3/26/1999,0
West,2,3207,3/28/1999,1
West,2,3514,3/30/1999,0
West,2,5780,4/1/1999,0
West,2,4796,4/3/1999,0
West,2,3828,4/5/1999,1
West,2,305,4/7/1999,0
West,2,322,4/9/1999,0
West,2,217,4/11/1999,1
West,2,360,4/13/1999,1
West,2,527,4/15/1999,0
West,2,916,4/17/1999,0
West,2,451,4/19/1999,0
West,2,165,4/21/1999,1
West,2,134,4/23/1999,0
West,2,97,4/25/1999,1
West,2,1421,4/27/1999,1
West,2,367,4/29/1999,0
West,2,155,5/1/1999,1
West,2,205,5/3/1999,0
West,2,335,5/5/1999,0
West,2,372,5/7/1999,1
West,2,184,5/9/1999,1
West,2,10,5/11/1999,0
West,2,0,5/13/1999,1
West,2,0,5/15/1999,1
West,2,0,5/17/1999,1
West,2,0,5/19/1999,0
West,2,0,5/21/1999,1
West,2,0,5/23/1999,1
West,2,0,5/25/1999,1
West,2,0,5/27/1999,1
North,3,20,3/24/1999,0
North,3,47,3/26/1999,0
North,3,32,3/28/1999,0
North,3,66,3/30/1999,0
North,3,37,4/1/1999,0
North,3,28,4/3/1999,0
North,3,23,4/5/1999,0
North,3,33,4/7/1999,0
North,3,87,4/9/1999,0
North,3,16,4/11/1999,0
North,3,17,4/13/1999,0
North,3,31,4/15/1999,0
North,3,47,4/17/1999,0
North,3,31,4/19/1999,0
North,3,116,4/21/1999,0
North,3,1,4/23/1999,0
North,3,2,4/25/1999,0
North,3,1,4/27/1999,0
North,3,1,4/29/1999,1
North,3,2,5/1/1999,0
North,3,1,5/3/1999,1
North,3,24,5/5/1999,0
North,3,1,5/7/1999,0
North,3,38,5/9/1999,0
North,3,0,5/11/1999,1
North,3,0,5/13/1999,0
North,3,0,5/15/1999,0
North,3,0,5/17/1999,0
North,3,0,5/19/1999,0
North,3,0,5/21/1999,0
North,3,0,5/23/1999,0
North,3,0,5/25/1999,1
North,3,0,5/27/1999,1
East,4,169,3/24/1999,0
East,4,312,3/26/1999,0
East,4,797,3/28/1999,1
East,4,498,3/30/1999,1
East,4,400,4/1/1999,0
East,4,218,4/3/1999,0
East,4,136,4/5/1999,0
East,4,34,4/7/1999,0
East,4,47,4/9/1999,0
East,4,23,4/11/1999,0
East,4,32,4/13/1999,0
East,4,87,4/15/1999,1
East,4,178,4/17/1999,0
East,4,0,4/19/1999,0
East,4,2,4/21/1999,0
East,4,6,4/23/1999,0
East,4,0,4/25/1999,0
East,4,20,4/27/1999,0
East,4,0,4/29/1999,0
East,4,0,5/1/1999,0
East,4,0,5/3/1999,0
East,4,0,5/5/1999,0
East,4,0,5/7/1999,1
East,4,0,5/9/1999,1
East,4,0,5/11/1999,0
East,4,0,5/13/1999,0
East,4,0,5/15/1999,0
East,4,0,5/17/1999,0
East,4,0,5/19/1999,1
East,4,0,5/21/1999,0
East,4,0,5/23/1999,1
East,4,0,5/25/1999,0
East,4,0,5/27/1999,0
South,5,464,3/24/1999,0
South,5,992,3/26/1999,0
South,5,2136,3/28/1999,0
South,5,2743,3/30/1999,0
South,5,8246,4/1/1999,0
South,5,2030,4/3/1999,0
South,5,2646,4/5/1999,0
South,5,2,4/7/1999,0
South,5,1,4/9/1999,0
South,5,2,4/11/1999,0
South,5,5,4/13/1999,0
South,5,8,4/15/1999,0
South,5,8,4/17/1999,0
South,5,1,4/19/1999,0
South,5,0,4/21/1999,0
South,5,0,4/23/1999,0
South,5,7,4/25/1999,0
South,5,1,4/27/1999,0
South,5,23,4/29/1999,0
South,5,0,5/1/1999,0
South,5,0,5/3/1999,0
South,5,0,5/5/1999,0
South,5,0,5/7/1999,0
South,5,0,5/9/1999,0
South,5,0,5/11/1999,0
South,5,0,5/13/1999,0
South,5,0,5/15/1999,1
South,5,0,5/17/1999,0
South,5,0,5/19/1999,0
South,5,0,5/21/1999,0
South,5,0,5/23/1999,0
South,5,0,5/25/1999,1
South,5,0,5/27/1999,0
West,6,286,3/24/1999,0
West,6,478,3/26/1999,0
West,6,1158,3/28/1999,0
West,6,340,3/30/1999,0
West,6,557,4/1/1999,0
West,6,388,4/3/1999,0
West,6,487,4/5/1999,0
West,6,502,4/7/1999,0
West,6,340,4/9/1999,0
West,6,347,4/11/1999,1
West,6,723,4/13/1999,0
West,6,707,4/15/1999,0
West,6,800,4/17/1999,0
West,6,1375,4/19/1999,0
West,6,479,4/21/1999,0
West,6,98,4/23/1999,0
West,6,91,4/25/1999,0
West,6,159,4/27/1999,0
West,6,107,4/29/1999,0
West,6,2,5/1/1999,1
West,6,62,5/3/1999,1
West,6,121,5/5/1999,0
West,6,1321,5/7/1999,0
West,6,1737,5/9/1999,0
West,6,0,5/11/1999,0
West,6,0,5/13/1999,0
West,6,0,5/15/1999,0
West,6,0,5/17/1999,1
West,6,0,5/19/1999,1
West,6,0,5/21/1999,1
West,6,0,5/23/1999,1
West,6,0,5/25/1999,1
West,6,0,5/27/1999,1
East,7,12,3/24/1999,0
East,7,23,3/26/1999,0
East,7,44,3/28/1999,0
East,7,104,3/30/1999,0
East,7,189,4/1/1999,0
East,7,88,4/3/1999,0
East,7,45,4/5/1999,0
East,7,0,4/7/1999,0
East,7,0,4/9/1999,0
East,7,0,4/11/1999,0
East,7,0,4/13/1999,0
East,7,0,4/15/1999,0
East,7,0,4/17/1999,0
East,7,0,4/19/1999,0
East,7,0,4/21/1999,0
East,7,0,4/23/1999,0
East,7,0,4/25/1999,0
East,7,0,4/27/1999,0
East,7,0,4/29/1999,0
East,7,0,5/1/1999,0
East,7,10,5/3/1999,1
East,7,0,5/5/1999,0
East,7,0,5/7/1999,0
East,7,0,5/9/1999,0
East,7,0,5/11/1999,0
East,7,0,5/13/1999,0
East,7,0,5/15/1999,0
East,7,0,5/17/1999,0
East,7,0,5/19/1999,0
East,7,0,5/21/1999,1
East,7,0,5/23/1999,1
East,7,0,5/25/1999,0
East,7,0,5/27/1999,1
